
Loading datasets...
  Plants: 11,673
  Organisms: 11,711
  Fungi: 11,711
  tier_1_tropical               : 1,659 plants
  tier_2_mediterranean          : 4,064 plants
  tier_3_humid_temperate        : 8,808 plants
  tier_4_continental            : 4,381 plants
  tier_5_boreal_polar           :   960 plants
  tier_6_arid                   : 2,404 plants

Initializing Faith's PD calculator...
Loading phylogenetic tree from: data/stage1/phlogeny/mixgb_tree_11676_species_20251027.nwk
Loading mapping from: data/stage1/phlogeny/mixgb_wfo_to_tree_mapping_11676.csv
  Tree tips: 10977
  WFO mappings: 11676
PhyloPDCalculator initialized (using TreeSwift).
✓ Faith's PD calculator loaded

================================================================================
STAGE: Stage 2: 7-Plant
================================================================================
Guild size: 7 plants
Guilds per tier: 20,000

tier_1_tropical:
  Plant pool: 1,659

  Sampling:   0%|          | 0/20000 [00:00<?, ?it/s]
  Sampling:   0%|          | 9/20000 [00:00<04:07, 80.69it/s]
  Sampling:   0%|          | 18/20000 [00:00<04:03, 81.90it/s]
  Sampling:   0%|          | 27/20000 [00:00<04:02, 82.50it/s]
  Sampling:   0%|          | 36/20000 [00:00<04:02, 82.38it/s]
  Sampling:   0%|          | 45/20000 [00:00<04:01, 82.47it/s]
  Sampling:   0%|          | 54/20000 [00:00<04:02, 82.34it/s]
  Sampling:   0%|          | 63/20000 [00:00<04:02, 82.22it/s]
  Sampling:   0%|          | 72/20000 [00:00<04:01, 82.42it/s]
  Sampling:   0%|          | 81/20000 [00:00<04:01, 82.61it/s]
  Sampling:   0%|          | 90/20000 [00:01<04:00, 82.72it/s]
  Sampling:   0%|          | 99/20000 [00:01<04:00, 82.67it/s]
  Sampling:   1%|          | 108/20000 [00:01<03:59, 82.91it/s]
  Sampling:   1%|          | 117/20000 [00:01<03:59, 82.98it/s]
  Sampling:   1%|          | 126/20000 [00:01<03:59, 83.08it/s]
  Sampling:   1%|          | 135/20000 [00:01<03:59, 83.04it/s]
  Sampling:   1%|          | 144/20000 [00:01<03:59, 83.04it/s]
  Sampling:   1%|          | 153/20000 [00:01<03:58, 83.09it/s]
  Sampling:   1%|          | 162/20000 [00:01<03:59, 82.87it/s]
  Sampling:   1%|          | 171/20000 [00:02<03:59, 82.83it/s]
  Sampling:   1%|          | 180/20000 [00:02<03:59, 82.86it/s]
  Sampling:   1%|          | 189/20000 [00:02<03:59, 82.77it/s]
  Sampling:   1%|          | 198/20000 [00:02<03:59, 82.77it/s]
  Sampling:   1%|          | 207/20000 [00:02<03:59, 82.80it/s]
  Sampling:   1%|          | 216/20000 [00:02<03:59, 82.76it/s]
  Sampling:   1%|          | 225/20000 [00:02<03:58, 82.79it/s]
  Sampling:   1%|          | 234/20000 [00:02<03:58, 82.85it/s]
  Sampling:   1%|          | 243/20000 [00:02<03:58, 82.93it/s]
  Sampling:   1%|▏         | 252/20000 [00:03<03:58, 82.88it/s]
  Sampling:   3%|▎         | 603/20000 [00:07<03:49, 84.50it/s]
  Sampling:   3%|▎         | 612/20000 [00:07<03:49, 84.31it/s]
  Sampling:   3%|▎         | 621/20000 [00:07<03:49, 84.42it/s]
  Sampling:   3%|▎         | 630/20000 [00:07<03:49, 84.52it/s]
  Sampling:   3%|▎         | 639/20000 [00:07<03:49, 84.49it/s]
  Sampling:   3%|▎         | 648/20000 [00:07<03:48, 84.54it/s]
  Sampling:   3%|▎         | 657/20000 [00:07<03:49, 84.18it/s]
  Sampling:   3%|▎         | 666/20000 [00:08<03:49, 84.20it/s]
  Sampling:   3%|▎         | 675/20000 [00:08<03:49, 84.07it/s]
  Sampling:   3%|▎         | 684/20000 [00:08<03:49, 84.03it/s]
  Sampling:   3%|▎         | 693/20000 [00:08<03:49, 84.13it/s]
  Sampling:   4%|▎         | 702/20000 [00:08<03:47, 85.00it/s]
  Sampling:   4%|▎         | 711/20000 [00:08<03:47, 84.93it/s]
  Sampling:   4%|▎         | 720/20000 [00:08<03:47, 84.67it/s]
  Sampling:   4%|▎         | 729/20000 [00:08<03:47, 84.58it/s]
  Sampling:   4%|▎         | 738/20000 [00:08<03:47, 84.50it/s]
  Sampling:   4%|▎         | 747/20000 [00:08<03:48, 84.32it/s]
  Sampling:   4%|▍         | 756/20000 [00:09<03:48, 84.33it/s]
  Sampling:   4%|▍         | 765/20000 [00:09<03:48, 84.23it/s]
  Sampling:   4%|▍         | 774/20000 [00:09<03:47, 84.54it/s]
  Sampling:   4%|▍         | 783/20000 [00:09<03:47, 84.44it/s]
  Sampling:   4%|▍         | 792/20000 [00:09<03:48, 84.20it/s]
  Sampling:   4%|▍         | 801/20000 [00:09<03:49, 83.49it/s]
  Sampling:   4%|▍         | 810/20000 [00:09<03:48, 83.87it/s]
  Sampling:   4%|▍         | 819/20000 [00:09<03:48, 84.09it/s]
  Sampling:   4%|▍         | 828/20000 [00:09<03:48, 84.00it/s]
  Sampling:   4%|▍         | 837/20000 [00:10<03:48, 83.84it/s]
  Sampling:   4%|▍         | 846/20000 [00:10<03:49, 83.62it/s]
  Sampling:   4%|▍         | 855/20000 [00:10<03:49, 83.49it/s]
  Sampling:   4%|▍         | 864/20000 [00:10<03:49, 83.31it/s]
  Sampling:   4%|▍         | 873/20000 [00:10<03:49, 83.44it/s]
  Sampling:   4%|▍         | 882/20000 [00:10<03:48, 83.58it/s]
  Sampling:   4%|▍         | 891/20000 [00:10<03:49, 83.44it/s]
  Sampling:   4%|▍         | 900/20000 [00:10<03:49, 83.39it/s]
  Sampling:   5%|▍         | 909/20000 [00:10<03:49, 83.11it/s]
  Sampling:   5%|▍         | 918/20000 [00:11<03:48, 83.33it/s]
  Sampling:   5%|▍         | 927/20000 [00:11<03:48, 83.31it/s]
  Sampling:   5%|▍         | 936/20000 [00:11<03:48, 83.40it/s]
  Sampling:   5%|▍         | 945/20000 [00:11<03:48, 83.55it/s]
  Sampling:   5%|▍         | 954/20000 [00:11<03:48, 83.25it/s]
  Sampling:   5%|▍         | 963/20000 [00:11<03:51, 82.32it/s]
  Sampling:   5%|▍         | 972/20000 [00:11<03:51, 82.14it/s]
  Sampling:   5%|▍         | 981/20000 [00:11<03:49, 82.89it/s]
  Sampling:   5%|▍         | 990/20000 [00:11<03:47, 83.45it/s]
  Sampling:   5%|▍         | 999/20000 [00:11<03:46, 83.74it/s]
  Sampling:   5%|▌         | 1008/20000 [00:12<03:46, 83.74it/s]
  Sampling:   5%|▌         | 1017/20000 [00:12<03:45, 84.09it/s]
  Sampling:   5%|▌         | 1026/20000 [00:12<03:45, 84.22it/s]
  Sampling:   5%|▌         | 1035/20000 [00:12<03:44, 84.49it/s]
  Sampling:   5%|▌         | 1044/20000 [00:12<03:44, 84.58it/s]
  Sampling:   5%|▌         | 1053/20000 [00:12<03:44, 84.54it/s]
  Sampling:   5%|▌         | 1062/20000 [00:12<03:44, 84.31it/s]
  Sampling:   5%|▌         | 1071/20000 [00:12<03:44, 84.46it/s]
  Sampling:   5%|▌         | 1080/20000 [00:12<03:44, 84.45it/s]
  Sampling:   5%|▌         | 1089/20000 [00:13<03:43, 84.53it/s]
  Sampling:   5%|▌         | 1098/20000 [00:13<03:43, 84.47it/s]
  Sampling:   6%|▌         | 1107/20000 [00:13<03:43, 84.55it/s]
  Sampling:   6%|▌         | 1116/20000 [00:13<03:43, 84.58it/s]
  Sampling:   6%|▌         | 1125/20000 [00:13<03:42, 84.65it/s]
  Sampling:   6%|▌         | 1134/20000 [00:13<03:43, 84.60it/s]
  Sampling:   6%|▌         | 1143/20000 [00:13<03:42, 84.58it/s]
  Sampling:   6%|▌         | 1152/20000 [00:13<03:42, 84.64it/s]
  Sampling:   6%|▌         | 1161/20000 [00:13<03:42, 84.67it/s]
  Sampling:   6%|▌         | 1170/20000 [00:14<03:42, 84.56it/s]
  Sampling:   6%|▌         | 1179/20000 [00:14<03:42, 84.72it/s]
  Sampling:   6%|▌         | 1188/20000 [00:14<03:41, 84.87it/s]
  Sampling:   6%|▌         | 1197/20000 [00:14<03:41, 84.75it/s]
  Sampling:   6%|▌         | 1206/20000 [00:14<03:41, 84.87it/s]
  Sampling:   6%|▌         | 1215/20000 [00:14<03:41, 84.93it/s]
  Sampling:   6%|▌         | 1224/20000 [00:14<03:41, 84.75it/s]
  Sampling:   6%|▌         | 1233/20000 [00:14<03:41, 84.74it/s]
  Sampling:   6%|▌         | 1242/20000 [00:14<03:41, 84.66it/s]
  Sampling:   6%|▋         | 1251/20000 [00:14<03:41, 84.73it/s]
  Sampling:   6%|▋         | 1260/20000 [00:15<03:41, 84.78it/s]
  Sampling:   6%|▋         | 1269/20000 [00:15<03:40, 84.81it/s]
  Sampling:   6%|▋         | 1278/20000 [00:15<03:41, 84.69it/s]
  Sampling:   6%|▋         | 1287/20000 [00:15<03:41, 84.57it/s]
  Sampling:   6%|▋         | 1296/20000 [00:15<03:41, 84.56it/s]
  Sampling:   7%|▋         | 1305/20000 [00:15<03:41, 84.28it/s]
  Sampling:   7%|▋         | 1314/20000 [00:15<03:41, 84.42it/s]
  Sampling:   7%|▋         | 1323/20000 [00:15<03:40, 84.62it/s]
  Sampling:   7%|▋         | 1332/20000 [00:15<03:40, 84.73it/s]
  Sampling:   7%|▋         | 1341/20000 [00:16<03:40, 84.75it/s]
  Sampling:   7%|▋         | 1350/20000 [00:16<03:40, 84.52it/s]
  Sampling:   7%|▋         | 1359/20000 [00:16<03:39, 84.75it/s]
  Sampling:   7%|▋         | 1368/20000 [00:16<03:39, 84.78it/s]
  Sampling:   7%|▋         | 1377/20000 [00:16<03:40, 84.56it/s]
  Sampling:   7%|▋         | 1386/20000 [00:16<03:40, 84.51it/s]
  Sampling:   7%|▋         | 1395/20000 [00:16<03:40, 84.52it/s]
  Sampling:   7%|▋         | 1404/20000 [00:16<03:40, 84.35it/s]
  Sampling:   7%|▋         | 1413/20000 [00:16<03:40, 84.46it/s]
  Sampling:   7%|▋         | 1422/20000 [00:16<03:39, 84.82it/s]
  Sampling:   7%|▋         | 1431/20000 [00:17<03:39, 84.58it/s]
  Sampling:   7%|▋         | 1440/20000 [00:17<03:39, 84.54it/s]
  Sampling:   7%|▋         | 1449/20000 [00:17<03:39, 84.40it/s]
  Sampling:   7%|▋         | 1458/20000 [00:17<03:42, 83.16it/s]
  Sampling:   7%|▋         | 1467/20000 [00:17<03:46, 81.99it/s]
  Sampling:   7%|▋         | 1476/20000 [00:17<03:44, 82.67it/s]
  Sampling:   7%|▋         | 1485/20000 [00:17<03:42, 83.21it/s]
  Sampling:   7%|▋         | 1494/20000 [00:17<03:41, 83.51it/s]
  Sampling:   8%|▊         | 1503/20000 [00:17<03:40, 84.01it/s]
  Sampling:   8%|▊         | 1512/20000 [00:18<03:40, 83.98it/s]
  Sampling:   8%|▊         | 1521/20000 [00:18<03:39, 84.26it/s]
  Sampling:   8%|▊         | 1530/20000 [00:18<03:38, 84.57it/s]
  Sampling:   8%|▊         | 1539/20000 [00:18<03:38, 84.54it/s]
  Sampling:   8%|▊         | 1548/20000 [00:18<03:38, 84.54it/s]
  Sampling:   8%|▊         | 1557/20000 [00:18<03:38, 84.56it/s]
  Sampling:   8%|▊         | 1566/20000 [00:18<03:37, 84.65it/s]
  Sampling:   8%|▊         | 1575/20000 [00:18<03:37, 84.83it/s]
  Sampling:   8%|▊         | 1584/20000 [00:18<03:37, 84.70it/s]
  Sampling:   8%|▊         | 1593/20000 [00:19<03:37, 84.77it/s]
  Sampling:   8%|▊         | 1602/20000 [00:19<03:36, 84.83it/s]
  Sampling:   8%|▊         | 1611/20000 [00:19<03:36, 84.85it/s]
  Sampling:   8%|▊         | 1620/20000 [00:19<03:36, 85.00it/s]
  Sampling:   8%|▊         | 1629/20000 [00:19<03:36, 84.89it/s]
  Sampling:   8%|▊         | 1638/20000 [00:19<03:36, 84.79it/s]
  Sampling:   8%|▊         | 1647/20000 [00:19<03:36, 84.74it/s]
  Sampling:   8%|▊         | 1656/20000 [00:19<03:36, 84.73it/s]
  Sampling:   8%|▊         | 1665/20000 [00:19<03:36, 84.72it/s]
  Sampling:   8%|▊         | 1674/20000 [00:19<03:36, 84.60it/s]
  Sampling:   8%|▊         | 1683/20000 [00:20<03:36, 84.47it/s]
  Sampling:   8%|▊         | 1692/20000 [00:20<03:37, 84.30it/s]
  Sampling:   9%|▊         | 1701/20000 [00:20<03:37, 84.29it/s]
  Sampling:   9%|▊         | 1710/20000 [00:20<03:36, 84.29it/s]
  Sampling:   9%|▊         | 1719/20000 [00:20<03:36, 84.37it/s]
  Sampling:   9%|▊         | 1728/20000 [00:20<03:36, 84.49it/s]
  Sampling:   9%|▊         | 1737/20000 [00:20<03:35, 84.66it/s]
  Sampling:   9%|▊         | 1746/20000 [00:20<03:36, 84.46it/s]
  Sampling:   9%|▉         | 1755/20000 [00:20<03:36, 84.44it/s]
  Sampling:   9%|▉         | 1764/20000 [00:21<03:35, 84.52it/s]
  Sampling:   9%|▉         | 1773/20000 [00:21<03:35, 84.44it/s]
  Sampling:   9%|▉         | 1782/20000 [00:21<03:35, 84.63it/s]
  Sampling:   9%|▉         | 1791/20000 [00:21<03:35, 84.65it/s]
  Sampling:   9%|▉         | 1800/20000 [00:21<03:35, 84.59it/s]
  Sampling:   9%|▉         | 1809/20000 [00:21<03:35, 84.50it/s]
  Sampling:   9%|▉         | 1818/20000 [00:21<03:34, 84.78it/s]
  Sampling:   9%|▉         | 1827/20000 [00:21<03:34, 84.66it/s]
  Sampling:   9%|▉         | 1836/20000 [00:21<03:34, 84.68it/s]
  Sampling:   9%|▉         | 1845/20000 [00:22<03:34, 84.78it/s]
  Sampling:   9%|▉         | 1854/20000 [00:22<03:34, 84.74it/s]
  Sampling:   9%|▉         | 1863/20000 [00:22<03:34, 84.67it/s]
  Sampling:   9%|▉         | 1872/20000 [00:22<03:34, 84.63it/s]
  Sampling:   9%|▉         | 1881/20000 [00:22<03:33, 84.76it/s]
  Sampling:   9%|▉         | 1890/20000 [00:22<03:33, 84.68it/s]
  Sampling:   9%|▉         | 1899/20000 [00:22<03:33, 84.69it/s]
  Sampling:  10%|▉         | 1908/20000 [00:22<03:33, 84.64it/s]
  Sampling:  10%|▉         | 1917/20000 [00:22<03:33, 84.74it/s]
  Sampling:  10%|▉         | 1926/20000 [00:22<03:33, 84.55it/s]
  Sampling:  10%|▉         | 1935/20000 [00:23<03:33, 84.67it/s]
  Sampling:  10%|▉         | 1944/20000 [00:23<03:33, 84.65it/s]
  Sampling:  10%|▉         | 1953/20000 [00:23<03:33, 84.64it/s]
  Sampling:  10%|▉         | 1962/20000 [00:23<03:33, 84.63it/s]
  Sampling:  10%|▉         | 1971/20000 [00:23<03:33, 84.58it/s]
  Sampling:  10%|▉         | 1980/20000 [00:23<03:33, 84.48it/s]
  Sampling:  10%|▉         | 1989/20000 [00:23<03:33, 84.44it/s]
  Sampling:  10%|▉         | 1998/20000 [00:23<03:33, 84.42it/s]
  Sampling:  10%|█         | 2007/20000 [00:23<03:32, 84.51it/s]
  Sampling:  10%|█         | 2016/20000 [00:24<03:32, 84.57it/s]
  Sampling:  10%|█         | 2025/20000 [00:24<03:32, 84.56it/s]
  Sampling:  10%|█         | 2034/20000 [00:24<03:32, 84.55it/s]
  Sampling:  10%|█         | 2043/20000 [00:24<03:32, 84.39it/s]
  Sampling:  10%|█         | 2052/20000 [00:24<03:32, 84.38it/s]
  Sampling:  10%|█         | 2061/20000 [00:24<03:32, 84.39it/s]
  Sampling:  10%|█         | 2070/20000 [00:24<03:31, 84.62it/s]
  Sampling:  10%|█         | 2079/20000 [00:24<03:32, 84.43it/s]
  Sampling:  10%|█         | 2088/20000 [00:24<03:33, 83.85it/s]
  Sampling:  10%|█         | 2097/20000 [00:24<03:33, 83.78it/s]
  Sampling:  11%|█         | 2106/20000 [00:25<03:32, 84.05it/s]
  Sampling:  11%|█         | 2115/20000 [00:25<03:33, 83.88it/s]
  Sampling:  11%|█         | 2124/20000 [00:25<03:33, 83.88it/s]
  Sampling:  11%|█         | 2133/20000 [00:25<03:32, 84.08it/s]
  Sampling:  11%|█         | 2142/20000 [00:25<03:31, 84.24it/s]
  Sampling:  11%|█         | 2151/20000 [00:25<03:32, 84.15it/s]
  Sampling:  11%|█         | 2160/20000 [00:25<03:31, 84.29it/s]
  Sampling:  11%|█         | 2169/20000 [00:25<03:30, 84.53it/s]
  Sampling:  11%|█         | 2178/20000 [00:25<03:30, 84.50it/s]
  Sampling:  11%|█         | 2187/20000 [00:26<03:30, 84.46it/s]
  Sampling:  11%|█         | 2196/20000 [00:26<03:30, 84.46it/s]
  Sampling:  11%|█         | 2205/20000 [00:26<03:31, 84.30it/s]
  Sampling:  11%|█         | 2214/20000 [00:26<03:30, 84.55it/s]
  Sampling:  11%|█         | 2223/20000 [00:26<03:29, 84.83it/s]
  Sampling:  11%|█         | 2232/20000 [00:26<03:29, 84.94it/s]
  Sampling:  11%|█         | 2241/20000 [00:26<03:28, 85.04it/s]
  Sampling:  11%|█▏        | 2250/20000 [00:26<03:28, 85.14it/s]
  Sampling:  11%|█▏        | 2259/20000 [00:26<03:28, 85.27it/s]
  Sampling:  11%|█▏        | 2268/20000 [00:27<03:28, 85.18it/s]
  Sampling:  11%|█▏        | 2277/20000 [00:27<03:27, 85.22it/s]
  Sampling:  11%|█▏        | 2286/20000 [00:27<03:28, 85.06it/s]
  Sampling:  11%|█▏        | 2295/20000 [00:27<03:28, 84.96it/s]
  Sampling:  12%|█▏        | 2304/20000 [00:27<03:28, 84.87it/s]
  Sampling:  12%|█▏        | 2313/20000 [00:27<03:28, 84.88it/s]
  Sampling:  12%|█▏        | 2322/20000 [00:27<03:27, 85.01it/s]
  Sampling:  12%|█▏        | 2331/20000 [00:27<03:27, 85.05it/s]
  Sampling:  12%|█▏        | 2340/20000 [00:27<03:28, 84.77it/s]
  Sampling:  12%|█▏        | 2349/20000 [00:27<03:28, 84.76it/s]
  Sampling:  12%|█▏        | 2358/20000 [00:28<03:28, 84.81it/s]
  Sampling:  12%|█▏        | 2367/20000 [00:28<03:27, 84.79it/s]
  Sampling:  12%|█▏        | 2376/20000 [00:28<03:28, 84.63it/s]
  Sampling:  12%|█▏        | 2385/20000 [00:28<03:27, 84.74it/s]
  Sampling:  12%|█▏        | 2394/20000 [00:28<03:28, 84.64it/s]
  Sampling:  12%|█▏        | 2403/20000 [00:28<03:28, 84.58it/s]
  Sampling:  12%|█▏        | 2412/20000 [00:28<03:27, 84.59it/s]
  Sampling:  12%|█▏        | 2421/20000 [00:28<03:30, 83.47it/s]
  Sampling:  12%|█▏        | 2430/20000 [00:28<03:32, 82.79it/s]
  Sampling:  12%|█▏        | 2439/20000 [00:29<03:35, 81.31it/s]
  Sampling:  12%|█▏        | 2448/20000 [00:29<03:33, 82.24it/s]
  Sampling:  12%|█▏        | 2457/20000 [00:29<03:31, 82.76it/s]
  Sampling:  12%|█▏        | 2466/20000 [00:29<03:30, 83.42it/s]
  Sampling:  12%|█▏        | 2475/20000 [00:29<03:29, 83.63it/s]
  Sampling:  12%|█▏        | 2484/20000 [00:29<03:28, 83.90it/s]
  Sampling:  12%|█▏        | 2493/20000 [00:29<03:27, 84.25it/s]
  Sampling:  13%|█▎        | 2502/20000 [00:29<03:27, 84.35it/s]
  Sampling:  13%|█▎        | 2511/20000 [00:29<03:27, 84.43it/s]
  Sampling:  13%|█▎        | 2520/20000 [00:30<03:27, 84.32it/s]
  Sampling:  13%|█▎        | 2529/20000 [00:30<03:27, 84.17it/s]
  Sampling:  13%|█▎        | 2538/20000 [00:30<03:27, 84.30it/s]
  Sampling:  13%|█▎        | 2547/20000 [00:30<03:27, 84.27it/s]
  Sampling:  13%|█▎        | 2556/20000 [00:30<03:26, 84.59it/s]
  Sampling:  13%|█▎        | 2565/20000 [00:30<03:25, 84.69it/s]
  Sampling:  13%|█▎        | 2574/20000 [00:30<03:25, 84.87it/s]
  Sampling:  13%|█▎        | 2583/20000 [00:30<03:25, 84.64it/s]
  Sampling:  13%|█▎        | 2592/20000 [00:30<03:26, 84.50it/s]
  Sampling:  13%|█▎        | 2601/20000 [00:30<03:25, 84.63it/s]
  Sampling:  13%|█▎        | 2610/20000 [00:31<03:25, 84.60it/s]
  Sampling:  13%|█▎        | 2619/20000 [00:31<03:25, 84.57it/s]
  Sampling:  13%|█▎        | 2628/20000 [00:31<03:25, 84.52it/s]
  Sampling:  13%|█▎        | 2637/20000 [00:31<03:25, 84.51it/s]
  Sampling:  13%|█▎        | 2646/20000 [00:31<03:25, 84.46it/s]
  Sampling:  13%|█▎        | 2655/20000 [00:31<03:25, 84.24it/s]
  Sampling:  13%|█▎        | 2664/20000 [00:31<03:24, 84.58it/s]
  Sampling:  13%|█▎        | 2673/20000 [00:31<03:25, 84.27it/s]
  Sampling:  13%|█▎        | 2682/20000 [00:31<03:25, 84.19it/s]
  Sampling:  13%|█▎        | 2691/20000 [00:32<03:25, 84.43it/s]
  Sampling:  14%|█▎        | 2700/20000 [00:32<03:24, 84.44it/s]
  Sampling:  14%|█▎        | 2709/20000 [00:32<03:24, 84.64it/s]
  Sampling:  14%|█▎        | 2718/20000 [00:32<03:23, 84.82it/s]
  Sampling:  14%|█▎        | 2727/20000 [00:32<03:23, 84.76it/s]
  Sampling:  14%|█▎        | 2736/20000 [00:32<03:23, 84.75it/s]
  Sampling:  14%|█▎        | 2745/20000 [00:32<03:23, 84.89it/s]
  Sampling:  14%|█▍        | 2754/20000 [00:32<03:23, 84.83it/s]
  Sampling:  14%|█▍        | 2763/20000 [00:32<03:23, 84.77it/s]
  Sampling:  14%|█▍        | 2772/20000 [00:32<03:23, 84.76it/s]
  Sampling:  14%|█▍        | 2781/20000 [00:33<03:22, 85.01it/s]
  Sampling:  14%|█▍        | 2790/20000 [00:33<03:22, 84.97it/s]
  Sampling:  14%|█▍        | 2799/20000 [00:33<03:22, 85.06it/s]
  Sampling:  14%|█▍        | 2808/20000 [00:33<03:22, 84.96it/s]
  Sampling:  14%|█▍        | 2817/20000 [00:33<03:22, 84.77it/s]
  Sampling:  14%|█▍        | 2826/20000 [00:33<03:22, 84.68it/s]
  Sampling:  14%|█▍        | 2835/20000 [00:33<03:23, 84.51it/s]
